,id,activity_date,total_steps,total_distance,tracker_distance,very_active_distance,moderately_active_distance,light_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,calories
0,1503960366,2016-04-12,13162,8500,8500,1880,550,6060,25,13,328,1985
1,1503960366,2016-04-13,10735,6970,6970,1570,690,4710,21,19,217,1797
2,1503960366,2016-04-14,10460,6740,6740,2440,400,3910,30,11,181,1776
3,1503960366,2016-04-15,9762,6280,6280,2140,1260,2830,29,34,209,1745
4,1503960366,2016-04-16,12669,8160,8160,2710,410,5040,36,10,221,1863
5,1503960366,2016-04-17,9705,6480,6480,3190,780,2510,38,20,164,1728
6,1503960366,2016-04-18,13019,8590,8590,3250,640,4710,42,16,233,1921
7,1503960366,2016-04-19,15506,9880,9880,3530,1320,5030,50,31,264,2035
8,1503960366,2016-04-20,10544,6680,6680,1960,480,4240,28,12,205,1786
9,1503960366,2016-04-21,9819,6340,6340,1340,350,4650,19,8,211,1775
10,1503960366,2016-04-22,12764,8130,8130,4760,1120,2240,66,27,130,1827
11,1503960366,2016-04-23,14371,9040,9040,2810,870,5360,41,21,262,1949
12,1503960366,2016-04-24,10039,6410,6410,2920,210,3280,39,5,238,1788
13,1503960366,2016-04-25,15355,9800,9800,5290,570,3940,73,14,216,2013
14,1503960366,2016-04-26,13755,8790,8790,2330,920,5540,31,23,279,1970
15,1503960366,2016-04-27,18134,12210,12210,6400,410,5410,78,11,243,2159
16,1503960366,2016-04-28,13154,8530,8530,3540,1160,3790,48,28,189,1898
17,1503960366,2016-04-29,11181,7150,7150,1060,500,5580,16,12,243,1837
18,1503960366,2016-04-30,14673,9250,9250,3560,1420,4270,52,34,217,1947
19,1503960366,2016-05-01,10602,6810,6810,2290,1600,2920,33,35,246,1820
20,1503960366,2016-05-02,14727,9710,9710,3210,570,5920,41,15,277,2004
21,1503960366,2016-05-03,15103,9660,9660,3730,1050,4880,50,24,254,1990
22,1503960366,2016-05-04,11100,7150,7150,2460,870,3820,36,22,203,1819
23,1503960366,2016-05-05,14070,8900,8900,2920,1080,4880,45,24,250,1959
24,1503960366,2016-05-06,12159,8030,8030,1970,250,5810,24,6,289,1896
25,1503960366,2016-05-07,11992,7710,7710,2460,2120,3130,37,46,175,1821
26,1503960366,2016-05-08,10060,6580,6580,3530,320,2730,44,8,203,1740
27,1503960366,2016-05-09,12022,7720,7720,3450,530,3740,46,11,206,1819
28,1503960366,2016-05-10,12207,7770,7770,3350,1160,3260,46,31,214,1859
29,1503960366,2016-05-11,12770,8130,8130,2560,1010,4550,36,23,251,1783
30,1503960366,2016-05-12,0,0,0,0,0,0,0,0,0,0
31,1624580081,2016-04-12,8163,5310,5310,0,0,5310,0,0,146,1432
32,1624580081,2016-04-13,7007,4550,4550,0,0,4550,0,0,148,1411
33,1624580081,2016-04-14,9107,5920,5920,0,0,5910,0,0,236,1572
34,1624580081,2016-04-15,1510,980,980,0,0,970,0,0,96,1344
35,1624580081,2016-04-16,5370,3490,3490,0,0,3490,0,0,176,1463
36,1624580081,2016-04-17,6175,4060,4060,1030,1520,1490,15,22,127,1554
37,1624580081,2016-04-18,10536,7410,7410,2150,620,4620,17,7,202,1604
38,1624580081,2016-04-19,2916,1900,1900,0,0,1900,0,0,141,1435
39,1624580081,2016-04-20,4974,3230,3230,0,0,3230,0,0,151,1446
40,1624580081,2016-04-21,6349,4130,4130,0,0,4110,0,0,186,1467
41,1624580081,2016-04-22,4026,2620,2620,0,0,2600,0,0,199,1470
42,1624580081,2016-04-23,8538,5550,5550,0,0,5540,0,0,227,1562
43,1624580081,2016-04-24,6076,3950,3950,1150,910,1890,16,18,185,1617
44,1624580081,2016-04-25,6497,4220,4220,0,0,4200,0,0,202,1492
45,1624580081,2016-04-26,2826,1840,1840,0,0,1830,0,0,140,1402
46,1624580081,2016-04-27,8367,5440,5440,1110,1870,2460,17,36,154,1670
47,1624580081,2016-04-28,2759,1790,1790,0,200,1600,0,5,115,1401
48,1624580081,2016-04-29,2390,1550,1550,0,0,1550,0,0,150,1404
49,1624580081,2016-04-30,6474,4300,4300,900,1280,2120,11,23,224,1655
50,1624580081,2016-05-01,36019,28030,28030,21920,4190,1910,186,63,171,2690
51,1624580081,2016-05-02,7155,4930,4930,860,590,3470,7,6,166,1497
52,1624580081,2016-05-03,2100,1370,1370,0,0,1340,0,0,96,1334
53,1624580081,2016-05-04,2193,1430,1430,0,0,1420,0,0,118,1368
54,1624580081,2016-05-05,2470,1610,1610,0,0,1580,0,0,117,1370
55,1624580081,2016-05-06,1727,1120,1120,0,0,1120,0,0,102,1341
56,1624580081,2016-05-07,2104,1370,1370,0,0,1370,0,0,182,1474
57,1624580081,2016-05-08,3427,2230,2230,0,0,2220,0,0,152,1427
58,1624580081,2016-05-09,1732,1130,1130,0,0,1130,0,0,91,1328
59,1624580081,2016-05-10,2969,1930,1930,0,0,1920,0,0,139,1393
60,1624580081,2016-05-11,3134,2040,2040,0,0,2040,0,0,112,1359
61,1624580081,2016-05-12,2971,1930,1930,0,0,1920,0,0,107,1002
62,1644430081,2016-04-12,10694,7770,7770,140,2300,5330,2,51,256,3199
63,1644430081,2016-04-13,8001,5820,5820,2280,900,2640,30,16,135,2902
64,1644430081,2016-04-14,11037,8020,8020,360,2560,5100,5,58,252,3226
65,1644430081,2016-04-15,5263,3830,3830,220,150,3450,3,4,170,2750
66,1644430081,2016-04-16,15300,11120,11120,4100,1880,5090,51,42,212,3493
67,1644430081,2016-04-17,8757,6370,6370,2250,570,3550,29,13,186,3011
68,1644430081,2016-04-18,7132,5190,5190,1070,1670,2450,15,33,121,2806
69,1644430081,2016-04-19,11256,8180,8180,360,2530,5300,5,58,278,3300
70,1644430081,2016-04-20,2436,1770,1770,0,0,1760,0,0,125,2430
71,1644430081,2016-04-21,1223,890,890,0,0,880,0,0,38,2140
72,1644430081,2016-04-22,3673,2670,2670,0,0,2660,0,0,86,2344
